BotanicalName,CommonName,SuggestedHindiNickname,AirPurifying,Light,Water,Indoors_Outdoors,ToxinsRemoved,Maintenance,SpaceRequired,AQIImprovement,OriginCountry
Zamioculcas zamiifolia,ZZ Plant,Jadui Patta,Yes,Low to Medium,Moderate,Indoors,"Formaldehyde, Benzene",Low,Balcony Corner,AQI +6,Australia
Maranta leuconeura,Prayer Plant,Prarthana Paudha,Yes,Bright,Mist Weekly,Outdoors,"Toluene, Formaldehyde, Carbon Monoxide",Medium,Balcony Corner,AQI +7,USA
Calathea orbifolia,Calathea,Chamak Patta,Yes,Medium,High,Indoors,"N/A, Benzene, Carbon Monoxide",High,Small Pot (6-8 inches),AQI +26,India
Asplenium nidus,Bird's Nest Fern,Ghosla Fern,Yes,Bright Indirect,Moderate,Outdoors,"Xylene, Benzene",Very Low,Tabletop,AQI +10,Australia
Peperomia obtusifolia,Baby Rubber Plant,Chhoti Rubber,Yes,Low,High Humidity,Outdoors,Formaldehyde,Low,Hanging Pot,AQI +14,Australia
Fittonia albivenis,Nerve Plant,Naadi Paudha,Yes,Medium,High Humidity,Indoors,Toluene,Medium,Tabletop,AQI +22,Brazil
Stromanthe Triostar,Triostar,Rangin Patta,Yes,Bright Indirect,High Humidity,Indoors,"Carbon Monoxide, Formaldehyde, Toluene",High,Small Pot (6-8 inches),AQI +24,USA
Dracaena marginata,Dragon Tree,Naag Paudha,Yes,Low,Moderate,Both,N/A,Low,Balcony Corner,AQI +13,Australia
Pilea peperomioides,Chinese Money Plant,Gol Patta,Yes,Bright,Low,Both,"N/A, Ammonia",Medium,Balcony Corner,AQI +9,Peru
Tillandsia spp.,Air Plant,Hawa Paudha,Yes,Bright,High,Both,"Formaldehyde, N/A, Toluene",Low,Balcony Corner,AQI +7,Mexico
Dypsis lutescens,Areca Palm,Hawa Ka Ped,Yes,Bright,Mist Weekly,Indoors,"Benzene, Toluene",High,Balcony Corner,AQI +12,Brazil
Ficus elastica,Rubber Plant,Rubber Wala Paudha,Yes,Low to Medium,Mist Weekly,Indoors,N/A,Low,Small Pot (6-8 inches),AQI +15,Africa
Chamaedorea elegans,Parlor Palm,Drawing Room Ka Paudha,Yes,Low,Moderate,Outdoors,"Benzene, Xylene, N/A",Very Low,Tabletop,AQI +11,Mexico
Nephrolepis exaltata,Boston Fern,Hari Jhadi,Yes,Bright,Moderate,Outdoors,Ammonia,Low,Hanging Pot,AQI +21,Indonesia
Aglaonema modestum,Chinese Evergreen,Chini Hara Patta,Yes,Bright,Moderate,Indoors,"Toluene, Ammonia",Low,Large Planter,AQI +27,India
Anthurium andraeanum,Flamingo Flower,Laal Phool Paudha,Yes,Bright Indirect,High Humidity,Both,"Formaldehyde, N/A",Very Low,Small Pot (6-8 inches),AQI +23,Thailand
Spathiphyllum wallisii,Peace Lily,Shaanti Ka Phool,Yes,Low,Moderate,Indoors,Ammonia,Very Low,Balcony Corner,AQI +6,India
Sansevieria trifasciata,Snake Plant,Naagin Paudha,Yes,Low,Moderate,Outdoors,"Carbon Monoxide, Xylene, Toluene",Low,Small Pot (6-8 inches),AQI +26,Mexico
Epipremnum aureum,Money Plant,Paise Wala Paudha,Yes,Medium,Low,Indoors,"Xylene, Carbon Monoxide",High,Small Pot (6-8 inches),AQI +18,Mexico
Chlorophytum comosum,Spider Plant,Makdi Patta,Yes,Medium,Mist Weekly,Outdoors,"Carbon Monoxide, Benzene, Ammonia",Low,Large Planter,AQI +15,Thailand
Zamioculcas zamiifolia var. 21,ZZ Plant 21,Jadui Patta 21,Yes,Bright,Moderate,Indoors,N/A,Low,Hanging Pot,AQI +30,Indonesia
Maranta leuconeura var. 22,Prayer Plant 22,Prarthana Paudha 22,Yes,Bright Indirect,High Humidity,Both,Xylene,High,Hanging Pot,AQI +27,Brazil
Calathea orbifolia var. 23,Calathea 23,Chamak Patta 23,Yes,Low,High,Both,Ammonia,Low,Balcony Corner,AQI +16,China
Asplenium nidus var. 24,Bird's Nest Fern 24,Ghosla Fern 24,Yes,Low to Medium,Moderate,Outdoors,Carbon Monoxide,Medium,Hanging Pot,AQI +25,China
Peperomia obtusifolia var. 25,Baby Rubber Plant 25,Chhoti Rubber 25,Yes,Bright Indirect,High Humidity,Both,Ammonia,Low,Small Pot (6-8 inches),AQI +8,Australia
Fittonia albivenis var. 26,Nerve Plant 26,Naadi Paudha 26,Yes,Low,Moderate,Indoors,"Benzene, Xylene, N/A",Medium,Small Pot (6-8 inches),AQI +20,Mexico
Stromanthe Triostar var. 27,Triostar 27,Rangin Patta 27,Yes,Medium,Moderate,Indoors,"N/A, Benzene, Formaldehyde",High,Large Planter,AQI +20,Indonesia
Dracaena marginata var. 28,Dragon Tree 28,Naag Paudha 28,Yes,Bright Indirect,Moderate,Indoors,Formaldehyde,Very Low,Balcony Corner,AQI +11,Thailand
Pilea peperomioides var. 29,Chinese Money Plant 29,Gol Patta 29,Yes,Bright Indirect,High,Outdoors,"Formaldehyde, Xylene",High,Hanging Pot,AQI +18,Indonesia
Tillandsia spp. var. 30,Air Plant 30,Hawa Paudha 30,Yes,Low,High Humidity,Indoors,"Formaldehyde, Xylene, Toluene",Very Low,Hanging Pot,AQI +19,India
Dypsis lutescens var. 31,Areca Palm 31,Hawa Ka Ped 31,Yes,Low to Medium,Mist Weekly,Outdoors,"Benzene, Toluene",Very Low,Tabletop,AQI +20,Indonesia
Ficus elastica var. 32,Rubber Plant 32,Rubber Wala Paudha 32,Yes,Low,Low,Both,Carbon Monoxide,High,Tabletop,AQI +29,Brazil
Chamaedorea elegans var. 33,Parlor Palm 33,Drawing Room Ka Paudha 33,Yes,Bright Indirect,Mist Weekly,Indoors,"Formaldehyde, Ammonia",Low,Balcony Corner,AQI +26,USA
Nephrolepis exaltata var. 34,Boston Fern 34,Hari Jhadi 34,Yes,Bright Indirect,High Humidity,Outdoors,"Xylene, Ammonia, Carbon Monoxide",Medium,Small Pot (6-8 inches),AQI +30,Thailand
Aglaonema modestum var. 35,Chinese Evergreen 35,Chini Hara Patta 35,Yes,Low,High Humidity,Indoors,"N/A, Ammonia, Carbon Monoxide",High,Small Pot (6-8 inches),AQI +14,Mexico
Anthurium andraeanum var. 36,Flamingo Flower 36,Laal Phool Paudha 36,Yes,Medium,High,Indoors,"Benzene, Carbon Monoxide, Xylene",High,Hanging Pot,AQI +25,India
Spathiphyllum wallisii var. 37,Peace Lily 37,Shaanti Ka Phool 37,Yes,Low to Medium,High,Indoors,Toluene,Very Low,Tabletop,AQI +6,China
Sansevieria trifasciata var. 38,Snake Plant 38,Naagin Paudha 38,Yes,Medium,Mist Weekly,Indoors,"Ammonia, Carbon Monoxide, Formaldehyde",Low,Tabletop,AQI +7,Indonesia
Epipremnum aureum var. 39,Money Plant 39,Paise Wala Paudha 39,Yes,Low to Medium,High Humidity,Both,"Ammonia, Carbon Monoxide, Benzene",High,Tabletop,AQI +9,Mexico
Chlorophytum comosum var. 40,Spider Plant 40,Makdi Patta 40,Yes,Low to Medium,High,Indoors,N/A,Low,Large Planter,AQI +27,Indonesia
Zamioculcas zamiifolia var. 41,ZZ Plant 41,Jadui Patta 41,Yes,Low to Medium,High,Indoors,Xylene,Low,Balcony Corner,AQI +20,China
Maranta leuconeura var. 42,Prayer Plant 42,Prarthana Paudha 42,Yes,Bright Indirect,High,Both,"Ammonia, Formaldehyde, Carbon Monoxide",Very Low,Balcony Corner,AQI +27,Brazil
Calathea orbifolia var. 43,Calathea 43,Chamak Patta 43,Yes,Bright Indirect,Low,Outdoors,"Toluene, Benzene, Ammonia",High,Large Planter,AQI +28,Brazil
Asplenium nidus var. 44,Bird's Nest Fern 44,Ghosla Fern 44,Yes,Low to Medium,Moderate,Outdoors,"Benzene, Xylene, Ammonia",Medium,Large Planter,AQI +21,Peru
Peperomia obtusifolia var. 45,Baby Rubber Plant 45,Chhoti Rubber 45,Yes,Bright,Low,Outdoors,"Benzene, Carbon Monoxide",High,Tabletop,AQI +27,Peru
Fittonia albivenis var. 46,Nerve Plant 46,Naadi Paudha 46,Yes,Bright,Low,Both,"Carbon Monoxide, Ammonia, Benzene",Medium,Large Planter,AQI +20,Peru
Stromanthe Triostar var. 47,Triostar 47,Rangin Patta 47,Yes,Medium,Moderate,Outdoors,Toluene,High,Hanging Pot,AQI +15,Thailand
Dracaena marginata var. 48,Dragon Tree 48,Naag Paudha 48,Yes,Bright,Moderate,Outdoors,Formaldehyde,Very Low,Balcony Corner,AQI +17,Indonesia
Pilea peperomioides var. 49,Chinese Money Plant 49,Gol Patta 49,Yes,Low,Mist Weekly,Indoors,"Formaldehyde, Carbon Monoxide, Benzene",High,Hanging Pot,AQI +30,China
